Country: IESE EMBA BCN 26-1,,,,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,"6,528","$67,979",$10.41,,
Inputs,"15,514","$169,710",$10.94,,
Consumption,"14,440","$148,706",$10.30,,
Final inventory,"7,602","$88,983",$11.71,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,"6,682","$133,980",$20.05,,
Production,"14,440","$301,718",$20.89,,
Consumption,"14,940","$297,192",$19.89,,
Final inventory,"6,182","$138,507",$22.40,,
,,,,,
Section 4,,,,,
Description,Costs,,,,
Cost of Piece 2 Consumed,"$8,616",,,,
Cost of Piece 3 Consumed,"$5,539",,,,
Cost of Piece 4 Consumed,"$3,693",,,,
Cost of Piece 5 Consumed,"$9,232",,,,
Cost of Piece 6 Consumed,"$2,154",,,,
Direct and Indirect Costs,"$4,439",,,,
Value of Assembly D Produced,"$33,673",,,,
,,,,,
Section 4,,,,,
,Piece 2,$,$ / Piece 2,,
Initial inventory,"50,356","$3,525",$0.07,,
Inputs,"78,000","$5,460",$0.07,,
Consumption,"123,088","$8,616",$0.07,,
Final inventory,"5,268",$369,$0.07,,
,Piece 3,$,$ / Piece 3,,
Initial inventory,"7,479","$8,975",$1.20,,
Inputs,"1,470","$1,764",$1.20,,
Consumption,"4,618","$5,539",$1.20,,
Final inventory,"4,333","$5,200",$1.20,,
,Piece 4,$,$ / Piece 4,,
Initial inventory,"15,199","$6,080",$0.40,,
Inputs,"2,520","$1,008",$0.40,,
Consumption,"9,227","$3,693",$0.40,,
Final inventory,"8,487","$3,395",$0.40,,
,Piece 5,$,$ / Piece 5,,
Initial inventory,"51,164","$15,349",$0.30,,
Inputs,"2,800",$840,$0.30,,
Consumption,"30,772","$9,232",$0.30,,
Final inventory,"23,192","$6,958",$0.30,,
,Piece 6,$,$ / Piece 6,,
Initial inventory,"16,524","$3,084",$0.19,,
Inputs,"1,050",$196,$0.19,,
Consumption,"11,543","$2,154",$0.19,,
Final inventory,"6,035","$1,126",$0.19,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,"8,426","$18,791",$2.23,,
Production,"15,386","$33,673",$2.19,,
Consumption,"14,940","$32,969",$2.21,,
Final inventory,"8,872","$19,495",$2.20,,
,,,,,
Section 5,,,,,
Description,Costs,,,,
Cost of Assembly C Consumed,"$297,192",,,,
Assembly C Holding Cost,"$32,252",,,,
Cost of Assembly D Consumed,"$32,969",,,,
Assembly D Holding Cost,"$13,818",,,,
Direct and Indirect Costs,"$49,284",,,,
Value of Electroclean Produced,"$425,515",,,,
,,,,,
Section 5,,,,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,"6,682","$133,980",$20.05,,
Inputs,"14,440","$301,718",$20.89,,
Consumption,"14,940","$297,192",$19.89,,
Final inventory,"6,182","$138,507",$22.40,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,"8,426","$18,791",$2.23,,
Inputs,"15,386","$33,673",$2.19,,
Consumption,"14,940","$32,969",$2.21,,
Final inventory,"8,872","$19,495",$2.20,,
,Electroclean,$,$ / Electroclean,,
Initial inventory,"6,992","$188,716",$26.99,,
Received,"4,277","$113,132",$26.45,,
Production,"14,940","$425,515",$28.48,,
Shipped,"-4,277","$-113,132",$26.45,,
COGS,"-17,328","$-481,439",$27.78,,
  Sales,"-17,328","$-481,439",$27.78,,
  Improvements,"-17,328",$0,$27.78,,
  Disposal,0,$0,$27.78,,
Final inventory,"4,604","$132,792",$28.84,,
,,,,,
Section 1,,,,,
Description,Costs,,,,
Cost of Part A Consumed,"$47,313",,,,
Part A Holding and Ordering Cost,"$14,232",,,,
Direct and Indirect Costs,"$2,923",,,,
Value of Assembly A Produced,"$64,467",,,,
,,,,,
Section 1,,,,,
,Part A,$,$ / Part A,,
Initial inventory,"4,210","$11,788",$2.80,,
Inputs,"11,820","$45,720",$3.87,,
Consumption,"12,534","$47,313",$3.77,,
Final inventory,"3,496","$10,195",$2.92,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,"6,602","$26,943",$4.08,,
Production,"12,534","$64,467",$5.14,,
Consumption,"11,704","$52,362",$4.47,,
Final inventory,"7,432","$39,048",$5.25,,
,,,,,
Section 2,,,,,
Description,Costs,,,,
Cost of Piece 1 Consumed,"$7,377",,,,
Cost of Part B Consumed,"$68,040",,,,
Part B Holding and Ordering Cost,"$38,753",,,,
Direct and Indirect Costs,"$9,583",,,,
Value of Assembly B Produced,"$123,753",,,,
,,,,,
Section 2,,,,,
,Piece 1,$,$ / Piece 1,,
Initial inventory,167,"$10,008",$59.93,,
Inputs,50,"$3,000",$60.00,,
Consumption,122,"$7,377",$60.46,,
Final inventory,94,"$5,631",$59.91,,
,Part B,$,$ / Part B,,
Initial inventory,922,"$20,293",$22.01,,
Inputs,"2,304","$71,040",$30.83,,
Consumption,"2,462","$68,040",$27.64,,
Final inventory,765,"$23,292",$30.45,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,"4,790","$46,462",$9.70,,
Production,"12,306","$123,753",$10.06,,
Consumption,"11,704","$113,648",$9.71,,
Final inventory,"5,392","$56,567",$10.49,,
,,,,,
Section 3,,,,,
Description,Costs,,,,
Cost of Assembly A Consumed,"$52,362",,,,
Assembly A Holding Cost,"$11,302",,,,
Cost of Assembly B Consumed,"$113,648",,,,
Assembly B Holding Cost,"$14,920",,,,
Direct and Indirect Costs,"$37,562",,,,
Value of Assembly C Produced,"$229,794",,,,
,,,,,
Section 3,,,,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,"6,602","$26,943",$4.08,,
Inputs,"12,534","$64,467",$5.14,,
Consumption,"11,704","$52,362",$4.47,,
Final inventory,"7,432","$39,048",$5.25,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,"4,790","$46,462",$9.70,,
Inputs,"12,306","$123,753",$10.06,,
Consumption,"11,704","$113,648",$9.71,,
Final inventory,"5,392","$56,567",$10.49,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,"4,062","$75,774",$18.65,,
Production,"11,704","$229,794",$19.63,,
Consumption,"12,000","$227,882",$18.99,,
Final inventory,"3,766","$77,686",$20.63,,
,,,,,
Section 4,,,,,
Description,Costs,,,,
Cost of Piece 2 Consumed,"$6,860",,,,
Cost of Piece 3 Consumed,"$4,410",,,,
Cost of Piece 4 Consumed,"$2,940",,,,
Cost of Piece 5 Consumed,"$7,350",,,,
Cost of Piece 6 Consumed,"$1,715",,,,
Direct and Indirect Costs,"$3,456",,,,
Value of Assembly D Produced,"$26,731",,,,
,,,,,
Section 4,,,,,
,Piece 2,$,$ / Piece 2,,
Initial inventory,"36,344","$2,544",$0.07,,
Inputs,"65,500","$4,585",$0.07,,
Consumption,"98,000","$6,860",$0.07,,
Final inventory,"3,844",$269,$0.07,,
,Piece 3,$,$ / Piece 3,,
Initial inventory,"5,330","$6,396",$1.20,,
Inputs,"1,470","$1,764",$1.20,,
Consumption,"3,674","$4,410",$1.20,,
Final inventory,"3,125","$3,750",$1.20,,
,Piece 4,$,$ / Piece 4,,
Initial inventory,"10,961","$4,384",$0.40,,
Inputs,"2,520","$1,008",$0.40,,
Consumption,"7,347","$2,940",$0.40,,
Final inventory,"6,131","$2,452",$0.40,,
,Piece 5,$,$ / Piece 5,,
Initial inventory,"38,436","$11,531",$0.30,,
Inputs,"2,800",$840,$0.30,,
Consumption,"24,500","$7,350",$0.30,,
Final inventory,"16,736","$5,021",$0.30,,
,Piece 6,$,$ / Piece 6,,
Initial inventory,"12,576","$2,348",$0.19,,
Inputs,"1,050",$196,$0.19,,
Consumption,"9,191","$1,715",$0.19,,
Final inventory,"4,439",$829,$0.19,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,"6,356","$14,248",$2.24,,
Production,"12,250","$26,731",$2.18,,
Consumption,"12,000","$26,491",$2.21,,
Final inventory,"6,606","$14,488",$2.19,,
,,,,,
Section 5,,,,,
Description,Costs,,,,
Cost of Assembly C Consumed,"$227,882",,,,
Assembly C Holding Cost,"$19,975",,,,
Cost of Assembly D Consumed,"$26,491",,,,
Assembly D Holding Cost,"$10,246",,,,
Direct and Indirect Costs,"$40,558",,,,
Value of Electroclean Produced,"$325,152",,,,
,,,,,
Section 5,,,,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,"4,062","$75,774",$18.65,,
Inputs,"11,704","$229,794",$19.63,,
Consumption,"12,000","$227,882",$18.99,,
Final inventory,"3,766","$77,686",$20.63,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,"6,356","$14,248",$2.24,,
Inputs,"12,250","$26,731",$2.18,,
Consumption,"12,000","$26,491",$2.21,,
Final inventory,"6,606","$14,488",$2.19,,
,Electroclean,$,$ / Electroclean,,
Initial inventory,"3,862","$100,113",$25.92,,
Received,0,$0,$0.00,,
Production,"12,000","$325,152",$27.10,,
Shipped,"-4,277","$-113,132",$26.45,,
COGS,"-8,900","$-238,675",$26.82,,
  Sales,"-8,900","$-238,675",$26.82,,
  Improvements,"-8,900",$0,$26.82,,
  Disposal,0,$0,$26.82,,
Final inventory,"2,685","$73,457",$27.36,,
,,,,,
Section 1,,,,,
Description,Costs,,,,
Cost of Part A Consumed,"$14,649",,,,
Part A Holding and Ordering Cost,"$6,876",,,,
Direct and Indirect Costs,$983,,,,
Value of Assembly A Produced,"$22,508",,,,
,,,,,
Section 1,,,,,
,Part A,$,$ / Part A,,
Initial inventory,"1,684","$5,613",$3.33,,
Inputs,"3,000","$13,320",$4.44,,
Consumption,"3,668","$14,649",$3.99,,
Final inventory,"1,016","$4,284",$4.22,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,"2,690","$15,195",$5.65,,
Production,"3,668","$22,508",$6.14,,
Consumption,"2,736","$14,859",$5.43,,
Final inventory,"3,622","$22,844",$6.31,,
,,,,,
Section 2,,,,,
Description,Costs,,,,
Cost of Piece 1 Consumed,"$1,922",,,,
Cost of Part B Consumed,"$16,844",,,,
Part B Holding and Ordering Cost,"$24,244",,,,
Direct and Indirect Costs,"$2,948",,,,
Value of Assembly B Produced,"$45,957",,,,
,,,,,
Section 2,,,,,
,Piece 1,$,$ / Piece 1,,
Initial inventory,65,"$3,893",$59.90,,
Inputs,3,$180,$60.00,,
Consumption,32,"$1,922",$60.05,,
Final inventory,36,"$2,152",$59.77,,
,Part B,$,$ / Part B,,
Initial inventory,359,"$7,902",$22.01,,
Inputs,576,"$16,488",$28.63,,
Consumption,640,"$16,844",$26.32,,
Final inventory,293,"$7,547",$25.76,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,"1,738","$21,516",$12.38,,
Production,"3,208","$45,957",$14.33,,
Consumption,"2,736","$35,058",$12.81,,
Final inventory,"2,210","$32,416",$14.67,,
,,,,,
Section 3,,,,,
Description,Costs,,,,
Cost of Assembly A Consumed,"$14,859",,,,
Assembly A Holding Cost,"$5,113",,,,
Cost of Assembly B Consumed,"$35,058",,,,
Assembly B Holding Cost,"$6,411",,,,
Direct and Indirect Costs,"$10,483",,,,
Value of Assembly C Produced,"$71,924",,,,
,,,,,
Section 3,,,,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,"2,690","$15,195",$5.65,,
Inputs,"3,668","$22,508",$6.14,,
Consumption,"2,736","$14,859",$5.43,,
Final inventory,"3,622","$22,844",$6.31,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,"1,738","$21,516",$12.38,,
Inputs,"3,208","$45,957",$14.33,,
Consumption,"2,736","$35,058",$12.81,,
Final inventory,"2,210","$32,416",$14.67,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,"2,620","$58,207",$22.22,,
Production,"2,736","$71,924",$26.29,,
Consumption,"2,940","$69,310",$23.57,,
Final inventory,"2,416","$60,821",$25.17,,
,,,,,
Section 4,,,,,
Description,Costs,,,,
Cost of Piece 2 Consumed,"$1,756",,,,
Cost of Piece 3 Consumed,"$1,129",,,,
Cost of Piece 4 Consumed,$753,,,,
Cost of Piece 5 Consumed,"$1,882",,,,
Cost of Piece 6 Consumed,$439,,,,
Direct and Indirect Costs,$983,,,,
Value of Assembly D Produced,"$6,941",,,,
,,,,,
Section 4,,,,,
,Piece 2,$,$ / Piece 2,,
Initial inventory,"14,012",$981,$0.07,,
Inputs,"12,500",$875,$0.07,,
Consumption,"25,088","$1,756",$0.07,,
Final inventory,"1,424",$100,$0.07,,
,Piece 3,$,$ / Piece 3,,
Initial inventory,"2,149","$2,579",$1.20,,
Inputs,0,$0,$0.00,,
Consumption,944,"$1,129",$1.20,,
Final inventory,"1,208","$1,450",$1.20,,
,Piece 4,$,$ / Piece 4,,
Initial inventory,"4,238","$1,695",$0.40,,
Inputs,0,$0,$0.00,,
Consumption,"1,880",$753,$0.40,,
Final inventory,"2,356",$943,$0.40,,
,Piece 5,$,$ / Piece 5,,
Initial inventory,"12,728","$3,818",$0.30,,
Inputs,0,$0,$0.00,,
Consumption,"6,272","$1,882",$0.30,,
Final inventory,"6,456","$1,937",$0.30,,
,Piece 6,$,$ / Piece 6,,
Initial inventory,"3,948",$737,$0.19,,
Inputs,0,$0,$0.00,,
Consumption,"2,352",$439,$0.19,,
Final inventory,"1,596",$298,$0.19,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,"2,070","$4,543",$2.19,,
Production,"3,136","$6,941",$2.21,,
Consumption,"2,940","$6,478",$2.20,,
Final inventory,"2,266","$5,007",$2.21,,
,,,,,
Section 5,,,,,
Description,Costs,,,,
Cost of Assembly C Consumed,"$69,310",,,,
Assembly C Holding Cost,"$12,277",,,,
Cost of Assembly D Consumed,"$6,478",,,,
Assembly D Holding Cost,"$3,572",,,,
Direct and Indirect Costs,"$8,726",,,,
Value of Electroclean Produced,"$100,364",,,,
,,,,,
Section 5,,,,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,"2,620","$58,207",$22.22,,
Inputs,"2,736","$71,924",$26.29,,
Consumption,"2,940","$69,310",$23.57,,
Final inventory,"2,416","$60,821",$25.17,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,"2,070","$4,543",$2.19,,
Inputs,"3,136","$6,941",$2.21,,
Consumption,"2,940","$6,478",$2.20,,
Final inventory,"2,266","$5,007",$2.21,,
,Electroclean,$,$ / Electroclean,,
Initial inventory,"1,816","$55,622",$30.63,,
Received,571,"$14,940",$26.16,,
Production,"2,940","$100,364",$34.14,,
Shipped,0,$0,$0.00,,
COGS,"-4,028","$-128,036",$31.79,,
  Sales,"-4,028","$-128,036",$31.79,,
  Improvements,"-4,028",$0,$31.79,,
  Disposal,0,$0,$31.79,,
Final inventory,"1,299","$42,889",$33.02,,
,,,,,
Section 1,,,,,
Description,Costs,,,,
Cost of Part A Consumed,$0,,,,
Part A Holding and Ordering Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly A Produced,$0,,,,
,,,,,
Section 1,,,,,
,Part A,$,$ / Part A,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 2,,,,,
Description,Costs,,,,
Cost of Piece 1 Consumed,$0,,,,
Cost of Part B Consumed,$0,,,,
Part B Holding and Ordering Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly B Produced,$0,,,,
,,,,,
Section 2,,,,,
,Piece 1,$,$ / Piece 1,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Part B,$,$ / Part B,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 3,,,,,
Description,Costs,,,,
Cost of Assembly A Consumed,$0,,,,
Assembly A Holding Cost,$0,,,,
Cost of Assembly B Consumed,$0,,,,
Assembly B Holding Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly C Produced,$0,,,,
,,,,,
Section 3,,,,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 4,,,,,
Description,Costs,,,,
Cost of Piece 2 Consumed,$0,,,,
Cost of Piece 3 Consumed,$0,,,,
Cost of Piece 4 Consumed,$0,,,,
Cost of Piece 5 Consumed,$0,,,,
Cost of Piece 6 Consumed,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly D Produced,$0,,,,
,,,,,
Section 4,,,,,
,Piece 2,$,$ / Piece 2,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 3,$,$ / Piece 3,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 4,$,$ / Piece 4,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 5,$,$ / Piece 5,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 6,$,$ / Piece 6,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 5,,,,,
Description,Costs,,,,
Cost of Assembly C Consumed,$0,,,,
Assembly C Holding Cost,$0,,,,
Cost of Assembly D Consumed,$0,,,,
Assembly D Holding Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Electroclean Produced,$0,,,,
,,,,,
Section 5,,,,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Electroclean,$,$ / Electroclean,,
Initial inventory,"1,314","$32,980",$25.10,,
Received,"3,706","$98,193",$26.50,,
Production,0,$0,$0.00,,
Shipped,0,$0,$0.00,,
COGS,"-4,400","$-114,728",$26.07,,
  Sales,"-4,400","$-114,728",$26.07,,
  Improvements,"-4,400",$0,$26.07,,
  Disposal,0,$0,$26.07,,
Final inventory,620,"$16,445",$26.52,,
,,,,,
Section 1,,,,,
Description,Costs,,,,
Cost of Part A Consumed,$0,,,,
Part A Holding and Ordering Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly A Produced,$0,,,,
,,,,,
Section 1,,,,,
,Part A,$,$ / Part A,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 2,,,,,
Description,Costs,,,,
Cost of Piece 1 Consumed,$0,,,,
Cost of Part B Consumed,$0,,,,
Part B Holding and Ordering Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly B Produced,$0,,,,
,,,,,
Section 2,,,,,
,Piece 1,$,$ / Piece 1,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Part B,$,$ / Part B,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 3,,,,,
Description,Costs,,,,
Cost of Assembly A Consumed,$0,,,,
Assembly A Holding Cost,$0,,,,
Cost of Assembly B Consumed,$0,,,,
Assembly B Holding Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly C Produced,$0,,,,
,,,,,
Section 3,,,,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 4,,,,,
Description,Costs,,,,
Cost of Piece 2 Consumed,$0,,,,
Cost of Piece 3 Consumed,$0,,,,
Cost of Piece 4 Consumed,$0,,,,
Cost of Piece 5 Consumed,$0,,,,
Cost of Piece 6 Consumed,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly D Produced,$0,,,,
,,,,,
Section 4,,,,,
,Piece 2,$,$ / Piece 2,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 3,$,$ / Piece 3,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 4,$,$ / Piece 4,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 5,$,$ / Piece 5,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 6,$,$ / Piece 6,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 5,,,,,
Description,Costs,,,,
Cost of Assembly C Consumed,$0,,,,
Assembly C Holding Cost,$0,,,,
Cost of Assembly D Consumed,$0,,,,
Assembly D Holding Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Electroclean Produced,$0,,,,
,,,,,
Section 5,,,,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Electroclean,$,$ / Electroclean,,
Initial inventory,0,$0,$0.00,,
Received,0,$0,$0.00,,
Production,0,$0,$0.00,,
Shipped,0,$0,$0.00,,
COGS,0,$0,$0.00,,
  Sales,0,$0,$0.00,,
  Improvements,0,$0,$0.00,,
  Disposal,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 1,,,,,
Description,Costs,,,,
Cost of Part A Consumed,$0,,,,
Part A Holding and Ordering Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly A Produced,$0,,,,
,,,,,
Section 1,,,,,
,Part A,$,$ / Part A,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 2,,,,,
Description,Costs,,,,
Cost of Piece 1 Consumed,$0,,,,
Cost of Part B Consumed,$0,,,,
Part B Holding and Ordering Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly B Produced,$0,,,,
,,,,,
Section 2,,,,,
,Piece 1,$,$ / Piece 1,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Part B,$,$ / Part B,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
